date,PPIACO,INDPRO,PAYEMS,WTISPLC,GDP,CPIAUCSL,BOGZ1FA895050005Q,GDPC1,UNRATE,PRS85006021,UMCSENT,DFF,CPILFESL,DSPIC96,PCE,PERMIT,W068RCQ027SBEA,DGS10,GFDEBTN,ICSA,shiller_PE,DXY,SP500
6/30/1972,0.01109215,0.019018426,0.010805704,0,0.029058783,0.006451613,0.047625655,0.022697724,-0.011560694,0,-0.045258621,0.212007679,0.007651109,0.010383887,0.024899635,-0.018888206,0.011268614,0.018022426,-0.002127092,0.005200809,0.013135351,-0.007120524,0.025468424
9/30/1972,0.015189873,0.012417907,0.007827069,0,0.019107385,0.008012821,0.019931025,0.009443819,-0.023391813,0.5,0.074492099,0.102287988,0.007593014,0.019442606,0.024294705,0.072311786,0.002423693,0.023808312,0.01761347,0.009711329,-0.005073281,0.004259035,0.010654681
12/31/1972,0.009975062,0.034363693,0.012610641,0,0.029706346,0.010333863,0.03846125,0.016744587,-0.035928144,-1.666666667,-0.047268908,0.085234176,0.005275057,0.040083247,0.031882439,0.022770398,0.035506831,0.013629478,0.033476516,-0.083633258,0.029650614,0.008916302,0.041587567
3/31/1973,0.048559671,0.028733486,0.013338372,0,0.036560955,0.015735641,0.064579275,0.024748064,-0.080745342,0.5,-0.097023153,0.270657269,0.007496252,0.007587642,0.030647512,-0.063936064,0.018226266,0.035797956,0.022594448,-0.087294191,-0.009354365,-0.04594649,0.01013343
6/30/1973,0.04866562,0.008571781,0.009104271,0,0.026422696,0.02091402,0.028830949,0.010886625,0,0.333333333,-0.05982906,0.195808474,0.010416667,0.00843607,0.01878712,-0.101997256,0.028529468,0.031378353,-0.002810692,0.058883594,-0.091649695,-0.052479091,-0.066253287
9/30/1973,0.041167665,0.008608546,0.005943737,0.140449438,0.014110746,0.019726859,-0.011450289,-0.005258985,-0.027027027,-0.25,-0.064935065,0.3503574,0.010309278,0.004521465,0.021811548,-0.094736842,-0.003365922,0.060315684,0.007209441,0.040822887,-0.049123522,-0.050265293,-0.021843068
12/31/1973,0.00790798,0.014809887,0.009513436,0.061576355,0.029606552,0.025297619,0.034828711,0.00949216,-0.006944444,0.333333333,0.0625,-0.053134427,0.016763848,0.010939117,0.017503687,-0.230870218,0.030596693,-0.064055148,0.018364618,0.050339716,-0.055734191,0.041248796,-0.023304908
3/31/1974,0.067047076,-0.008990123,0.004675498,1.345707657,0.010106422,0.029753266,-0.019207449,-0.008597726,0.076923077,1.5,-0.192156863,-0.066317761,0.015770609,-0.016553029,0.020559179,0.007315289,0.032424355,0.044241833,0.00981084,0.191708321,-0.096481271,0.063624383,-0.066574569
6/30/1974,0.034759358,0.000860875,0.003771575,0,0.026050674,0.026779422,0.038860829,0.002376832,0.012987013,0.3,0.166666667,0.205441028,0.026111503,-0.009322869,0.031992824,-0.158073106,0.025137283,0.068978299,0.001182245,-0.040217123,-0.084422111,-0.048051088,-0.05338299
9/30/1974,0.071059432,-0.003984779,0.001401066,0,0.019587518,0.028140014,0.002348743,-0.009451428,0.083333333,0.230769231,-0.106796117,0.075303909,0.034387895,0.000883737,0.031363175,-0.206728005,0.062143342,0.055415575,0.015247715,0.128020566,-0.207189901,0.022862029,-0.16267123
12/31/1974,0.034981906,-0.039698107,-0.005587942,0.103857567,0.025418166,0.03070761,0.006468602,-0.003881408,0.171597633,0.25,-0.076086957,-0.227649654,0.029255319,-0.001352276,0.010323759,-0.102573396,0.02800131,-0.035939557,0.023258132,0.360756609,-0.100726895,-0.014224247,-0.085799347
3/31/1975,-0.000582751,-0.066411351,-0.015723927,0,0.010275186,0.021373057,-0.061461846,-0.012172859,0.252525253,0.05,-0.031932773,-0.32522489,0.021317829,-0.001473587,0.027248714,-0.126009693,0.055363587,-0.016889197,0.034496127,0.180874225,0.110084681,-0.051564423,0.132964946
6/30/1975,0.011078717,-0.013118603,-0.005431887,0,0.022112893,0.012048193,-0.000783127,0.007145362,0.072580645,-0.095238095,0.263888889,-0.140654228,0.015812777,0.046259144,0.0287928,0.259704251,0.039629862,0.067298133,0.046166162,-0.067224507,0.111650485,-0.000628075,0.132300714
9/30/1975,0.021337947,0.024441814,0.006733303,0,0.035092106,0.020050125,0.083775672,0.01711652,-0.045112782,-0.263157895,0.039835165,0.136091771,0.013075965,-0.014554964,0.033183149,0.129126926,0.020349244,0.029767911,0.038371081,-0.116770564,-0.035870243,0.064124489,-0.014648183
12/31/1975,0.010728402,0.021847277,0.009046035,0,0.030418991,0.018427518,0.04420919,0.013465242,-0.019685039,-0.857142857,-0.001321004,-0.120969735,0.017209588,0.007853059,0.027756557,0.071150097,0.028359849,-0.027532062,0.041546328,-0.107419521,0.003558719,0.017850499,0.015505548
3/31/1976,0.004469274,0.030689868,0.013398102,0.054062127,0.033292637,0.01145959,0.078023031,0.022487601,-0.068273092,-5.5,0.119047619,-0.108055996,0.018731118,0.012044771,0.03125,0.076433121,0.015888702,-0.038352442,0.041344041,-0.095274831,0.109284333,0.011250482,0.117690945
6/30/1976,0.015572859,0.013006255,0.006824134,0.0345707,0.017492572,0.008944544,0.029439892,0.007337006,-0.021551724,-0.666666667,-0.01536643,0.076432686,0.013641756,0.005689016,0.017689281,-0.009861933,-0.004455505,0.002448225,0.033209546,0.068855255,0.010171462,0.024015509,0.020967473
